web-scraper-order,web-scraper-start-url,cat-1,cat-1-href,cat-2,cat-2-href,prod,prod-href,title,description,price,shipping-dest,shipping-method
"1685122522-17","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","刹车内线","https://shop111028974.taobao.com/category-1431986819.htm?search=y&parentCatId=1366986712&parentCatName=%C9%B2%B3%B5%CF%DF%C0%E0&catName=%C9%B2%B3%B5%C4%DA%CF%DF#bd","","https://item.taobao.com/item.htm?id=609481980907","正品捷安特GIANT公路车山地车刹车线自行车配件低摩擦研刹车装置","","15.84-19.36","上海 至 全国","快递 ¥35.00"
"1685122522-18","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","刹车内线","https://shop111028974.taobao.com/category-1431986819.htm?search=y&parentCatId=1366986712&parentCatName=%C9%B2%B3%B5%CF%DF%C0%E0&catName=%C9%B2%B3%B5%C4%DA%CF%DF#bd","","https://item.taobao.com/item.htm?id=609481980907","正品捷安特GIANT公路车山地车刹车线自行车配件低摩擦研刹车装置","刹车线是V刹都可以用的    油压是不可以用的","15.84-19.36","上海 至 全国","快递 ¥35.00"
"1685122522-19","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","刹车内线","https://shop111028974.taobao.com/category-1431986819.htm?search=y&parentCatId=1366986712&parentCatName=%C9%B2%B3%B5%CF%DF%C0%E0&catName=%C9%B2%B3%B5%C4%DA%CF%DF#bd","","https://item.taobao.com/item.htm?id=609481980907","正品捷安特GIANT公路车山地车刹车线自行车配件低摩擦研刹车装置","","15.84-19.36","上海 至 全国","快递 ¥35.00"
"1685122522-20","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","刹车内线","https://shop111028974.taobao.com/category-1431986819.htm?search=y&parentCatId=1366986712&parentCatName=%C9%B2%B3%B5%CF%DF%C0%E0&catName=%C9%B2%B3%B5%C4%DA%CF%DF#bd","","https://item.taobao.com/item.htm?id=609481980907","正品捷安特GIANT公路车山地车刹车线自行车配件低摩擦研刹车装置","","15.84-19.36","上海 至 全国","快递 ¥35.00"
"1685122522-21","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","刹车内线","https://shop111028974.taobao.com/category-1431986819.htm?search=y&parentCatId=1366986712&parentCatName=%C9%B2%B3%B5%CF%DF%C0%E0&catName=%C9%B2%B3%B5%C4%DA%CF%DF#bd","","https://item.taobao.com/item.htm?id=609481980907","正品捷安特GIANT公路车山地车刹车线自行车配件低摩擦研刹车装置","底摩擦研磨变速内线","15.84-19.36","上海 至 全国","快递 ¥35.00"
"1685122522-22","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","刹车内线","https://shop111028974.taobao.com/category-1431986819.htm?search=y&parentCatId=1366986712&parentCatName=%C9%B2%B3%B5%CF%DF%C0%E0&catName=%C9%B2%B3%B5%C4%DA%CF%DF#bd","","https://item.taobao.com/item.htm?id=609481980907","正品捷安特GIANT公路车山地车刹车线自行车配件低摩擦研刹车装置","适合所有型号的变速自行车可用","15.84-19.36","上海 至 全国","快递 ¥35.00"
"1685122522-23","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","刹车内线","https://shop111028974.taobao.com/category-1431986819.htm?search=y&parentCatId=1366986712&parentCatName=%C9%B2%B3%B5%CF%DF%C0%E0&catName=%C9%B2%B3%B5%C4%DA%CF%DF#bd","","https://item.taobao.com/item.htm?id=609481980907","正品捷安特GIANT公路车山地车刹车线自行车配件低摩擦研刹车装置","6速-12速都可以用","15.84-19.36","上海 至 全国","快递 ¥35.00"
"1685122522-24","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","刹车内线","https://shop111028974.taobao.com/category-1431986819.htm?search=y&parentCatId=1366986712&parentCatName=%C9%B2%B3%B5%CF%DF%C0%E0&catName=%C9%B2%B3%B5%C4%DA%CF%DF#bd","","https://item.taobao.com/item.htm?id=609481980907","正品捷安特GIANT公路车山地车刹车线自行车配件低摩擦研刹车装置","通用型的","15.84-19.36","上海 至 全国","快递 ¥35.00"
"1685122522-25","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","刹车内线","https://shop111028974.taobao.com/category-1431986819.htm?search=y&parentCatId=1366986712&parentCatName=%C9%B2%B3%B5%CF%DF%C0%E0&catName=%C9%B2%B3%B5%C4%DA%CF%DF#bd","","https://item.taobao.com/item.htm?id=609481980907","正品捷安特GIANT公路车山地车刹车线自行车配件低摩擦研刹车装置","","15.84-19.36","上海 至 全国","快递 ¥35.00"
"1685122522-26","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","刹车内线","https://shop111028974.taobao.com/category-1431986819.htm?search=y&parentCatId=1366986712&parentCatName=%C9%B2%B3%B5%CF%DF%C0%E0&catName=%C9%B2%B3%B5%C4%DA%CF%DF#bd","","https://item.taobao.com/item.htm?id=609481980907","正品捷安特GIANT公路车山地车刹车线自行车配件低摩擦研刹车装置","","15.84-19.36","上海 至 全国","快递 ¥35.00"
"1685122572-27","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","牙盘","https://shop111028974.taobao.com/category-1587211723.htm?search=y&parentCatId=923264039&parentCatName=%D1%C0%C5%CC&catName=%D1%C0%C5%CC#bd","","https://item.taobao.com/item.htm?id=641465845859","","","","",""
"1685122592-28","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","前拨 后拨","https://shop111028974.taobao.com/category-1431986811.htm?search=y&parentCatId=923264039&parentCatName=%D1%C0%C5%CC&catName=%C7%B0%B2%A6+%BA%F3%B2%A6#bd","","https://item.taobao.com/item.htm?id=656104477465","","","","",""
"1685122606-29","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","飞轮","https://shop111028974.taobao.com/category-1431986810.htm?search=y&parentCatId=923264039&parentCatName=%D1%C0%C5%CC&catName=%B7%C9%C2%D6#bd","","https://item.taobao.com/item.htm?id=692896555738","SHIMANO禧玛诺CS-HG50-10速飞轮山地车卡式飞轮11-36T齿组装配件","","","",""
"1685122627-30","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","工具","https://shop111028974.taobao.com/category-1432016757.htm?search=y&parentCatId=923264093&parentCatName=%B9%A4%BE%DF&catName=%B9%A4%BE%DF#bd","","https://item.taobao.com/item.htm?id=609762036429","捷安特真空胎气嘴山地公路自行车气门芯胎垫补胎液针筒工具垫片","","15.30-255.00","上海 至 全国","快递 ¥35.00"
"1685122627-31","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","工具","https://shop111028974.taobao.com/category-1432016757.htm?search=y&parentCatId=923264093&parentCatName=%B9%A4%BE%DF&catName=%B9%A4%BE%DF#bd","","https://item.taobao.com/item.htm?id=609762036429","捷安特真空胎气嘴山地公路自行车气门芯胎垫补胎液针筒工具垫片","","15.30-255.00","上海 至 全国","快递 ¥35.00"
"1685122627-32","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","工具","https://shop111028974.taobao.com/category-1432016757.htm?search=y&parentCatId=923264093&parentCatName=%B9%A4%BE%DF&catName=%B9%A4%BE%DF#bd","","https://item.taobao.com/item.htm?id=609762036429","捷安特真空胎气嘴山地公路自行车气门芯胎垫补胎液针筒工具垫片","品牌标注的规格和实际测量规格有所出入（误差2-3MM）所以购买时注意","15.30-255.00","上海 至 全国","快递 ¥35.00"
"1685122627-33","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","工具","https://shop111028974.taobao.com/category-1432016757.htm?search=y&parentCatId=923264093&parentCatName=%B9%A4%BE%DF&catName=%B9%A4%BE%DF#bd","","https://item.taobao.com/item.htm?id=609762036429","捷安特真空胎气嘴山地公路自行车气门芯胎垫补胎液针筒工具垫片","","15.30-255.00","上海 至 全国","快递 ¥35.00"
"1685122627-34","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","工具","https://shop111028974.taobao.com/category-1432016757.htm?search=y&parentCatId=923264093&parentCatName=%B9%A4%BE%DF&catName=%B9%A4%BE%DF#bd","","https://item.taobao.com/item.htm?id=609762036429","捷安特真空胎气嘴山地公路自行车气门芯胎垫补胎液针筒工具垫片","","15.30-255.00","上海 至 全国","快递 ¥35.00"
"1685122627-35","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","工具","https://shop111028974.taobao.com/category-1432016757.htm?search=y&parentCatId=923264093&parentCatName=%B9%A4%BE%DF&catName=%B9%A4%BE%DF#bd","","https://item.taobao.com/item.htm?id=609762036429","捷安特真空胎气嘴山地公路自行车气门芯胎垫补胎液针筒工具垫片","","15.30-255.00","上海 至 全国","快递 ¥35.00"
"1685122627-36","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","工具","https://shop111028974.taobao.com/category-1432016757.htm?search=y&parentCatId=923264093&parentCatName=%B9%A4%BE%DF&catName=%B9%A4%BE%DF#bd","","https://item.taobao.com/item.htm?id=609762036429","捷安特真空胎气嘴山地公路自行车气门芯胎垫补胎液针筒工具垫片","","15.30-255.00","上海 至 全国","快递 ¥35.00"
"1685122644-37","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","补胎盒 撬胎棒","https://shop111028974.taobao.com/category-1432016755.htm?search=y&parentCatId=923264093&parentCatName=%B9%A4%BE%DF&catName=%B2%B9%CC%A5%BA%D0+%C7%CB%CC%A5%B0%F4#bd","","https://item.taobao.com/item.htm?id=40208689812","GIANT捷安特便携式补胎盒 自行车免胶水补胎片 撬胎棒 补胎工具组","","","上海 至 全国","快递 ¥35.00"
"1685122644-38","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","补胎盒 撬胎棒","https://shop111028974.taobao.com/category-1432016755.htm?search=y&parentCatId=923264093&parentCatName=%B9%A4%BE%DF&catName=%B2%B9%CC%A5%BA%D0+%C7%CB%CC%A5%B0%F4#bd","","https://item.taobao.com/item.htm?id=40208689812","GIANT捷安特便携式补胎盒 自行车免胶水补胎片 撬胎棒 补胎工具组","GIANT捷安特便携式补胎盒 自行车免胶水补胎片 撬胎棒 补","","上海 至 全国","快递 ¥35.00"
"1685122644-39","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","补胎盒 撬胎棒","https://shop111028974.taobao.com/category-1432016755.htm?search=y&parentCatId=923264093&parentCatName=%B9%A4%BE%DF&catName=%B2%B9%CC%A5%BA%D0+%C7%CB%CC%A5%B0%F4#bd","","https://item.taobao.com/item.htm?id=40208689812","GIANT捷安特便携式补胎盒 自行车免胶水补胎片 撬胎棒 补胎工具组","胎工具组","","上海 至 全国","快递 ¥35.00"
"1685122644-40","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","补胎盒 撬胎棒","https://shop111028974.taobao.com/category-1432016755.htm?search=y&parentCatId=923264093&parentCatName=%B9%A4%BE%DF&catName=%B2%B9%CC%A5%BA%D0+%C7%CB%CC%A5%B0%F4#bd","","https://item.taobao.com/item.htm?id=40208689812","GIANT捷安特便携式补胎盒 自行车免胶水补胎片 撬胎棒 补胎工具组","","","上海 至 全国","快递 ¥35.00"
"1685122644-41","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","补胎盒 撬胎棒","https://shop111028974.taobao.com/category-1432016755.htm?search=y&parentCatId=923264093&parentCatName=%B9%A4%BE%DF&catName=%B2%B9%CC%A5%BA%D0+%C7%CB%CC%A5%B0%F4#bd","","https://item.taobao.com/item.htm?id=40208689812","GIANT捷安特便携式补胎盒 自行车免胶水补胎片 撬胎棒 补胎工具组","","","上海 至 全国","快递 ¥35.00"
"1685122644-42","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","补胎盒 撬胎棒","https://shop111028974.taobao.com/category-1432016755.htm?search=y&parentCatId=923264093&parentCatName=%B9%A4%BE%DF&catName=%B2%B9%CC%A5%BA%D0+%C7%CB%CC%A5%B0%F4#bd","","https://item.taobao.com/item.htm?id=40208689812","GIANT捷安特便携式补胎盒 自行车免胶水补胎片 撬胎棒 补胎工具组","","","上海 至 全国","快递 ¥35.00"
"1685122644-43","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","补胎盒 撬胎棒","https://shop111028974.taobao.com/category-1432016755.htm?search=y&parentCatId=923264093&parentCatName=%B9%A4%BE%DF&catName=%B2%B9%CC%A5%BA%D0+%C7%CB%CC%A5%B0%F4#bd","","https://item.taobao.com/item.htm?id=40208689812","GIANT捷安特便携式补胎盒 自行车免胶水补胎片 撬胎棒 补胎工具组","","","上海 至 全国","快递 ¥35.00"
"1685122683-44","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","脚踏","https://shop111028974.taobao.com/category-1432010797.htm?search=y&parentCatId=1432010783&parentCatName=%B3%B5%C9%ED%D7%B0%B1%B8&catName=%BD%C5%CC%A4#bd","","https://item.taobao.com/item.htm?id=605596391738","正品捷安特GIANT骑行脚踏侣合金自润培林脚踏板山地公路车自行车","","108.80","上海 至 全国","快递 ¥35.00"
"1685122683-45","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","脚踏","https://shop111028974.taobao.com/category-1432010797.htm?search=y&parentCatId=1432010783&parentCatName=%B3%B5%C9%ED%D7%B0%B1%B8&catName=%BD%C5%CC%A4#bd","","https://item.taobao.com/item.htm?id=605596391738","正品捷安特GIANT骑行脚踏侣合金自润培林脚踏板山地公路车自行车","","108.80","上海 至 全国","快递 ¥35.00"
"1685122683-46","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","脚踏","https://shop111028974.taobao.com/category-1432010797.htm?search=y&parentCatId=1432010783&parentCatName=%B3%B5%C9%ED%D7%B0%B1%B8&catName=%BD%C5%CC%A4#bd","","https://item.taobao.com/item.htm?id=605596391738","正品捷安特GIANT骑行脚踏侣合金自润培林脚踏板山地公路车自行车","","108.80","上海 至 全国","快递 ¥35.00"
"1685122683-47","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","脚踏","https://shop111028974.taobao.com/category-1432010797.htm?search=y&parentCatId=1432010783&parentCatName=%B3%B5%C9%ED%D7%B0%B1%B8&catName=%BD%C5%CC%A4#bd","","https://item.taobao.com/item.htm?id=605596391738","正品捷安特GIANT骑行脚踏侣合金自润培林脚踏板山地公路车自行车","","108.80","上海 至 全国","快递 ¥35.00"
"1685122683-48","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","脚踏","https://shop111028974.taobao.com/category-1432010797.htm?search=y&parentCatId=1432010783&parentCatName=%B3%B5%C9%ED%D7%B0%B1%B8&catName=%BD%C5%CC%A4#bd","","https://item.taobao.com/item.htm?id=605596391738","正品捷安特GIANT骑行脚踏侣合金自润培林脚踏板山地公路车自行车","超薄型脚踏设计","108.80","上海 至 全国","快递 ¥35.00"
"1685122683-49","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","脚踏","https://shop111028974.taobao.com/category-1432010797.htm?search=y&parentCatId=1432010783&parentCatName=%B3%B5%C9%ED%D7%B0%B1%B8&catName=%BD%C5%CC%A4#bd","","https://item.taobao.com/item.htm?id=605596391738","正品捷安特GIANT骑行脚踏侣合金自润培林脚踏板山地公路车自行车","封闭式自润林脚踏","108.80","上海 至 全国","快递 ¥35.00"
"1685122683-50","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","脚踏","https://shop111028974.taobao.com/category-1432010797.htm?search=y&parentCatId=1432010783&parentCatName=%B3%B5%C9%ED%D7%B0%B1%B8&catName=%BD%C5%CC%A4#bd","","https://item.taobao.com/item.htm?id=605596391738","正品捷安特GIANT骑行脚踏侣合金自润培林脚踏板山地公路车自行车","","108.80","上海 至 全国","快递 ¥35.00"
"1685122719-51","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","支撑   货架","https://shop111028974.taobao.com/category-1432010794.htm?search=y&parentCatId=1432010783&parentCatName=%B3%B5%C9%ED%D7%B0%B1%B8&catName=%D6%A7%B3%C5+++%BB%F5%BC%DC#bd","","https://item.taobao.com/item.htm?id=597794285611","新品捷安特GIANT山地车支撑脚架自行车停车架ATX XTC骑行配件脚撑","","57.80-66.30","",""
"1685122719-52","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","支撑   货架","https://shop111028974.taobao.com/category-1432010794.htm?search=y&parentCatId=1432010783&parentCatName=%B3%B5%C9%ED%D7%B0%B1%B8&catName=%D6%A7%B3%C5+++%BB%F5%BC%DC#bd","","https://item.taobao.com/item.htm?id=597794285611","新品捷安特GIANT山地车支撑脚架自行车停车架ATX XTC骑行配件脚撑","","57.80-66.30","",""
"1685122719-53","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","支撑   货架","https://shop111028974.taobao.com/category-1432010794.htm?search=y&parentCatId=1432010783&parentCatName=%B3%B5%C9%ED%D7%B0%B1%B8&catName=%D6%A7%B3%C5+++%BB%F5%BC%DC#bd","","https://item.taobao.com/item.htm?id=597794285611","新品捷安特GIANT山地车支撑脚架自行车停车架ATX XTC骑行配件脚撑","","57.80-66.30","",""
"1685122719-54","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","支撑   货架","https://shop111028974.taobao.com/category-1432010794.htm?search=y&parentCatId=1432010783&parentCatName=%B3%B5%C9%ED%D7%B0%B1%B8&catName=%D6%A7%B3%C5+++%BB%F5%BC%DC#bd","","https://item.taobao.com/item.htm?id=597794285611","新品捷安特GIANT山地车支撑脚架自行车停车架ATX XTC骑行配件脚撑","","57.80-66.30","",""
"1685122719-55","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","支撑   货架","https://shop111028974.taobao.com/category-1432010794.htm?search=y&parentCatId=1432010783&parentCatName=%B3%B5%C9%ED%D7%B0%B1%B8&catName=%D6%A7%B3%C5+++%BB%F5%BC%DC#bd","","https://item.taobao.com/item.htm?id=597794285611","新品捷安特GIANT山地车支撑脚架自行车停车架ATX XTC骑行配件脚撑","","57.80-66.30","",""
"1685122719-56","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","支撑   货架","https://shop111028974.taobao.com/category-1432010794.htm?search=y&parentCatId=1432010783&parentCatName=%B3%B5%C9%ED%D7%B0%B1%B8&catName=%D6%A7%B3%C5+++%BB%F5%BC%DC#bd","","https://item.taobao.com/item.htm?id=597794285611","新品捷安特GIANT山地车支撑脚架自行车停车架ATX XTC骑行配件脚撑","","57.80-66.30","",""
"1685122719-57","https://shop111028974.taobao.com/","其他类","https://shop111028974.taobao.com/category-923264092.htm?search=y&catName=%C6%E4%CB%FB%C0%E0#bd","支撑   货架","https://shop111028974.taobao.com/category-1432010794.htm?search=y&parentCatId=1432010783&parentCatName=%B3%B5%C9%ED%D7%B0%B1%B8&catName=%D6%A7%B3%C5+++%BB%F5%BC%DC#bd","","https://item.taobao.com/item.htm?id=597794285611","新品捷安特GIANT山地车支撑脚架自行车停车架ATX XTC骑行配件脚撑","","57.80-66.30","",""
