web-scraper-order,web-scraper-start-url,category-links,category-links-href,subcategory-links,subcategory-links-href,product-links,product-links-href,name,price,description
"1685079098-11","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Dell Latitude 55...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/626","Dell Latitude 5580","$1341.22","Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 16GB, 256GB SSD, GeForce GT930MX, Linux"
"1685079101-12","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Dell Latitude 54...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/625","Dell Latitude 5480","$1338.37","Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux + Windows 10 Home"
"1685079104-13","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Dell Latitude 55...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/624","Dell Latitude 5580","$1337.28","Dell Latitude 5580, 15.6"" FHD, Core i7-7600U, 8GB, 256GB SSD, GeForce GT930MX, Windows 10 Pro"
"1685079107-14","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Apple MacBook Pr...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/623","Apple MacBook Pro 13"" Space Gray","$1333.00","Apple MacBook Pro 13"" Space Gray, Core i5 2.3GHz, 8GB, 128GB SSD, Iris Plus 640, ENG"
"1685079110-15","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Hewlett Packard...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/622","Hewlett Packard ProBook 640 G3","$1326.83","Hewlett Packard ProBook 640 G3, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro"
"1685079113-16","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","ThinkPad X240","https://www.webscraper.io/test-sites/e-commerce/allinone/product/520","ThinkPad X240","$1311.99","12.5"", Core i5-4300U, 8GB, 240GB SSD, Win7 Pro 64bit"
"1685079116-17","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Dell Latitude 54...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/621","Dell Latitude 5480","$1310.39","Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Windows 10 Pro"
"1685079119-18","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","MSI GL62VR 7RFX","https://www.webscraper.io/test-sites/e-commerce/allinone/product/620","MSI GL62VR 7RFX","$1299.00","MSI GL62VR 7RFX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 256GB SSD, GeForce GTX 1060 3GB, Windows 10 Home"
"1685079122-19","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Toshiba Portege...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/619","Toshiba Portege Z30-C-16K Grey","$1294.74","Toshiba Portege Z30-C-16K Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, 4G, Windows 10 Pro"
"1685079125-20","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Dell XPS 13","https://www.webscraper.io/test-sites/e-commerce/allinone/product/525","Dell XPS 13","$1281.99","13.3"" Touch, Core i5-4210U, 8GB, 128GB SSD, Windows 8.1"
"1685079128-21","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Hewlett Packard...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/618","Hewlett Packard Spectre 13-v106na Dark Ash Silver","$1273.11","Hewlett Packard Spectre 13-v106na Dark Ash Silver, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home"
"1685079131-22","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Dell Latitude 54...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/617","Dell Latitude 5480","$1271.06","Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 1TB, GeForce GT930MX, Windows 10 Pro"
"1685079134-23","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Apple MacBook Ai...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/616","Apple MacBook Air 13""","$1260.13","Apple MacBook Air 13"", i5 1.8GHz, 8GB, 256GB SSD, Intel HD 6000, ENG"
"1685079137-24","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Asus ROG Strix G...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/615","Asus ROG Strix GL753VE-GC096T","$1259.00","Asus ROG Strix GL753VE-GC096T, 17.3"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home, Eng kbd"
"1685079140-25","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","ThinkPad X230","https://www.webscraper.io/test-sites/e-commerce/allinone/product/526","ThinkPad X230","$1244.99","12.5"", Core i5 2.6GHz, 8GB, 180GB SSD, Win7 Pro 64bit"
"1685079143-26","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Asus ZenBook UX5...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/614","Asus ZenBook UX530UX-FY040T Blue","$1239.20","Asus ZenBook UX530UX-FY040T Blue, 15.6"" FHD, Core i7-7500U, 8GB, 512GB SSD, GeForce GTX950M 2GB, Windows 10 Home, Eng kbd"
"1685079146-27","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Dell Latitude 54...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/613","Dell Latitude 5480","$1238.37","Dell Latitude 5480, 14"" FHD, Core i7-7600U, 8GB, 256GB SSD, Linux"
"1685079149-28","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Asus VivoBook Pr...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/612","Asus VivoBook Pro 15 N580VN-FI006T Gold Metal","$1235.49","Asus VivoBook Pro 15 N580VN-FI006T Gold Metal, 15.6"" UHD, Core i7-7700HQ, 16GB, 1TB + 256GB SSD, GeForce MX150 2GB, Windows 10 Home, Eng kbd"
"1685079152-29","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","ThinkPad Yoga","https://www.webscraper.io/test-sites/e-commerce/allinone/product/528","ThinkPad Yoga","$1223.99","12.5"" Touch, Core i5 4200U, 8GB, 500GB + 16GB SSD Cache, Windows"
"1685079155-30","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Acer Predator He...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/611","Acer Predator Helios 300 (PH317-51)","$1221.58","Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 4GB, Windows 10 Home"
"1685079158-31","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Lenovo IdeaPad M...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/610","Lenovo IdeaPad Miix 510 Platinum Silver","$1212.16","Lenovo IdeaPad Miix 510 Platinum Silver, 12.2"" IPS Touch, Core i5-7200U, 8GB, 256GB SSD, 4G, Windows 10 Pro"
"1685079161-32","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Toshiba Portege...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/609","Toshiba Portege X30-D-10J Black/Blue","$1203.41","Toshiba Portege X30-D-10J Black/Blue, 13.3"" FHD IPS, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Pro"
"1685079164-33","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Lenovo Yoga 910...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/608","Lenovo Yoga 910 Grey","$1199.73","Lenovo Yoga 910 Grey, 13.9"" FHD Touch, Core i5-7200U, 8GB, 256GB SSD, Windows 10 Home"
"1685079167-34","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","MSI GL62M 7REX2","https://www.webscraper.io/test-sites/e-commerce/allinone/product/607","MSI GL62M 7REX2","$1199.00","MSI GL62M 7REX2, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home"
"1685079170-35","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","MSI GL62M 7REX","https://www.webscraper.io/test-sites/e-commerce/allinone/product/606","MSI GL62M 7REX","$1199.00","MSI GL62M 7REX, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 Ti 2GB, Windows 10 Home"
"1685079173-36","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Acer Predator He...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/605","Acer Predator Helios 300 (PH317-51)","$1187.98","Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i7-7700HQ. 8GB, 128GB SSD +1TB, GeForce GTX 1050Ti 4GB, Linux + Windows 10 Home"
"1685079176-37","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Dell Latitude 54...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/604","Dell Latitude 5480","$1187.88","Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro"
"1685079179-38","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","MSI GS63 7RD Ste...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/603","MSI GS63 7RD Stealth","$1179.00","MSI GS63 7RD Stealth, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, DOS + Windows 10 Home"
"1685079182-39","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","ThinkPad T540p","https://www.webscraper.io/test-sites/e-commerce/allinone/product/518","ThinkPad T540p","$1178.99","15.6"", Core i5-4200M, 4GB, 500GB, Win7 Pro 64bit"
"1685079185-40","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Dell Latitude 55...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/602","Dell Latitude 5580","$1178.19","Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 16GB, 256GB SSD, Linux + Windows 10 Home"
"1685079188-41","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Acer TravelMate...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/601","Acer TravelMate P645-S-511A Black","$1170.10","Acer TravelMate P645-S-511A Black, 14"" FHD IPS, Core i5-5200U, 8GB, 256GB SSD, 3G, Windows 10 Pro"
"1685079191-42","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Toshiba Portege...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/600","Toshiba Portege Z30-C-16L Grey","$1154.04","Toshiba Portege Z30-C-16L Grey, 13.3"" FHD, Core i7-6500U, 8GB, 256GB SSD, Windows 10 Pro"
"1685079194-43","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Lenovo Yoga 720...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/599","Lenovo Yoga 720 Grey","$1149.73","Lenovo Yoga 720 Grey, 15.6"" FHD IPS, Core i5-7300HQ, 8GB, 256GB SSD, GeForce GTX 1050 2GB, Windows 10 Home"
"1685079197-44","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","MSI GP62M 7RDX L...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/598","MSI GP62M 7RDX Leopard","$1149.00","MSI GP62M 7RDX Leopard, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050 2GB, Windows 10 Home"
"1685079200-45","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Lenovo Legion Y5...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/540","Lenovo Legion Y520-15IKBM","$1149.00","Lenovo Legion Y520-15IKBM, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB, GeForce GTX 1060 Max-Q 6GB, DOS"
"1685079203-46","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Dell Latitude 55...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/597","Dell Latitude 5580","$1144.40","Dell Latitude 5580, 15.6"" FHD, Core i5-7300U, 8GB, 256GB SSD, Windows 10 Pro"
"1685079206-47","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Dell Inspiron 15...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/596","Dell Inspiron 15 (7567) Black","$1144.20","Dell Inspiron 15 (7567) Black, 15.6"" FHD, Core i7-7700HQ, 8GB, 1TB, GeForce GTX 1050 Ti 4GB, Linux + Windows 10 Home"
"1685079209-48","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Dell Latitude 54...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/595","Dell Latitude 5480","$1143.40","Dell Latitude 5480, 14"" FHD, Core i5-7440HQ, 8GB, 256GB SSD, Windows 10 Pro"
"1685079212-49","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Acer Nitro 5 AN5...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/594","Acer Nitro 5 AN515-51","$1140.62","Acer Nitro 5 AN515-51, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 256GB SSD +1TB, GeForce GTX 1050 Ti 4GB, Windows 10 Home + Windows 10 Home"
"1685079215-50","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Asus AsusPro Adv...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/593","Asus AsusPro Advanced BU401LA-FA271G Dark Grey","$1139.54","Asus AsusPro Advanced BU401LA-FA271G Dark Grey, 14"", Core i5-4210U, 4GB, 128GB SSD, Win7 Pro 64bit, ENG"
"1685079218-51","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Lenovo Legion Y5...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/592","Lenovo Legion Y520","$1133.91","Lenovo Legion Y520, 15.6"" FHD, Core i7-7700HQ, 8GB, 128 GB SSD + 1TB HDD, GTX 1050 4GB, Windows 10 Home"
"1685079221-52","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Dell Latitude 54...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/591","Dell Latitude 5480","$1133.82","Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Windows 10 Pro"
"1685079224-53","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Dell Inspiron 17...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/590","Dell Inspiron 17 2in1 (7779) Silver","$1124.20","Dell Inspiron 17 2in1 (7779) Silver, 17.3"" FHD Touch, Core i5-7200U, 12GB, 1TB, GeForce GT940MX 2GB, Windows 10 Home"
"1685079227-54","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Acer Aspire 7 A7...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/589","Acer Aspire 7 A715-71G","$1123.87","Acer Aspire 7 A715-71G, 15.6"" FHD IPS, Core i7-7700HQ, 8GB, 128GB SSD + 1TB HDD, GTX 1050 Ti 4GB, Windows 10 Home"
"1685079230-55","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Acer Predator He...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/588","Acer Predator Helios 300 (PH317-51)","$1123.87","Acer Predator Helios 300 (PH317-51), 17.3"" FHD IPS, Core i5-7300HQ, 8GB, 1TB + 128GB SSD, GeForce GTX 1050Ti 4GB, Windows 10 Home"
"1685079233-56","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Toshiba Portege...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/587","Toshiba Portege Z30-C-16J Grey","$1114.55","Toshiba Portege Z30-C-16J Grey, 13.3"" FHD, Core i5-6200U, 8GB, 256GB SSD, Windows 10 Pro"
"1685079236-57","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Lenovo Legion Y5...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/586","Lenovo Legion Y520-15IKBM","$1112.91","Lenovo Legion Y520-15IKBM, Black, 15.6"" FHD IPS, Core i5-7300HQ, 8 GB, 128GB SSD + 2 TB HDD, NVIDIA GeForce GTX 1060 6 GB, FreeDOS + Windows 10 Home"
"1685079239-58","https://www.webscraper.io/test-sites/e-commerce/allinone","Computers","https://www.webscraper.io/test-sites/e-commerce/allinone/computers","Laptops","https://www.webscraper.io/test-sites/e-commerce/allinone/computers/laptops","Dell Latitude 54...","https://www.webscraper.io/test-sites/e-commerce/allinone/product/585","Dell Latitude 5480","$1110.14","Dell Latitude 5480, 14"" FHD, Core i5-7300U, 8GB, 500GB, Linux + Windows 10 Home"
